license_class,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared,date,month_year1,trips_per_month,month_date,farebox_per_month,week,trips_per_week,year,farebox_per_week,total_trips_per_day,shared_trips_per_day_percent,farebox_per_trip,farebox_per_vehicle,trips_per_month_on_road,farebox_per_month_on_road,daily_farebox_per_trip,daily_farebox_per_vehicle,drivers_vehicles_ratio,monthly_farebox_per_vehicle_on_road,monthly_farebox_per_trip_on_road,monthly_trips_per_vehicle_on_road
FHV - Black Car,5359,0,2737,2725,1469,16.7,3.3,16.7,3.3,0.0,0.0,0,2015-01,2015-01,166129,2015-01-28,0,04,37513,2015,0,5359,0.0,0.0,0.0,89495.3,0.0,0.0,0.0,1.0044036697247707,0.0,0.0,32.842311926605504
FHV - Black Car,6213,0,2640,2620,1618,17.3,3.5,17.2,3.5,0.0,0.0,0,2015-02,2015-02,173964,2015-02-28,0,08,43491,2015,0,6213,0.0,0.0,0.0,107484.90000000001,0.0,0.0,0.0,1.0076335877862594,0.0,0.0,41.02477099236641
FHV - Black Car,5338,0,2921,2882,1296,13.9,3.3,13.6,3.3,0.0,0.0,0,2015-03,2015-03,165478,2015-03-28,0,12,37366,2015,0,5338,0.0,0.0,0.0,74198.2,0.0,0.0,0.0,1.0135322692574602,0.0,0.0,25.74538514920194
FHV - Black Car,10060,0,5237,5225,2653,15.2,3.3,15.2,3.2,0.0,0.0,0,2015-04,2015-04,301800,2015-04-28,0,17,70420,2015,0,10060,0.0,0.0,0.0,152912.0,0.0,0.0,0.0,1.0022966507177034,0.0,0.0,29.265454545454546
FHV - Black Car,7681,0,4561,4550,2055,14.0,3.2,14.0,3.2,0.0,0.0,0,2015-05,2015-05,238111,2015-05-28,0,21,53767,2015,0,7681,0.0,0.0,0.0,107534.0,0.0,0.0,0.0,1.0024175824175825,0.0,0.0,23.633846153846154
FHV - Black Car,9276,0,5009,4956,2543,15.4,3.2,15.3,3.2,0.0,0.0,0,2015-06,2015-06,278280,2015-06-28,0,25,64932,2015,0,9276,0.0,0.0,0.0,142850.4,0.0,0.0,0.0,1.0106941081517353,0.0,0.0,28.82372881355932
FHV - Black Car,7574,0,4296,4248,2117,15.5,3.1,15.4,3.1,0.0,0.0,0,2015-07,2015-07,234794,2015-07-28,0,30,53018,2015,0,7574,0.0,0.0,0.0,117397.0,0.0,0.0,0.0,1.0112994350282485,0.0,0.0,27.635828625235405
FHV - Black Car,7988,0,5154,5073,2384,14.6,2.9,14.4,2.9,0.0,0.0,0,2015-08,2015-08,247628,2015-08-28,0,34,55916,2015,0,7988,0.0,0.0,0.0,116624.8,0.0,0.0,0.0,1.015966883500887,0.0,0.0,22.989315986595702
FHV - Black Car,10293,0,5937,5875,2769,14.1,3.2,14.0,3.2,0.0,0.0,0,2015-09,2015-09,308790,2015-09-28,0,39,72051,2015,0,10293,0.0,0.0,0.0,145131.3,0.0,0.0,0.0,1.0105531914893617,0.0,0.0,24.7032
FHV - Black Car,16756,0,7837,7652,3974,16.1,3.5,15.7,3.5,0.0,0.0,0,2015-10,2015-10,519436,2015-10-28,0,43,117292,2015,0,16756,0.0,0.0,0.0,269771.60000000003,0.0,0.0,0.0,1.0241766858337689,0.0,0.0,35.25504443282802
FHV - Black Car,15069,0,7790,7942,4024,15.2,3.2,15.1,3.3,0.0,0.0,0,2015-11,2015-11,452070,2015-11-28,0,47,105483,2015,0,15069,0.0,0.0,0.0,229048.8,0.0,0.0,0.0,0.9808612440191388,0.0,0.0,28.840191387559805
FHV - Black Car,15377,0,8494,8429,3928,14.5,3.3,14.3,3.3,0.0,0.0,0,2015-12,2015-12,476687,2015-12-28,0,52,107639,2015,0,15377,0.0,0.0,0.0,222966.5,0.0,0.0,0.0,1.0077114722980187,0.0,0.0,26.452307509787637
FHV - Black Car,14352,0,8911,8788,4087,14.4,3.1,14.3,3.0,0.0,0.0,0,2016-01,2016-01,444912,2016-01-28,0,04,100464,2016,0,14352,0.0,0.0,0.0,206668.80000000002,0.0,0.0,0.0,1.0139963586709149,0.0,0.0,23.51715976331361
FHV - Black Car,19854,0,9263,9138,4768,15.1,3.4,15.0,3.4,0.0,0.0,0,2016-02,2016-02,575766,2016-02-28,0,08,138978,2016,0,19854,0.0,0.0,0.0,299795.39999999997,0.0,0.0,0.0,1.013679142044211,0.0,0.0,32.8075508864084
FHV - Black Car,14138,0,6836,6543,3846,18.2,3.2,17.5,3.2,0.0,0.0,0,2016-03,2016-03,438278,2016-03-28,0,13,98966,2016,0,14138,0.0,0.0,0.0,257311.59999999998,0.0,0.0,0.0,1.0447806816445055,0.0,0.0,39.32624178511386
FHV - Black Car,14535,0,7361,7036,3939,16.8,3.2,16.2,3.2,0.0,0.0,0,2016-04,2016-04,436050,2016-04-28,0,17,101745,2016,0,14535,0.0,0.0,0.0,244188.0,0.0,0.0,0.0,1.0461910176236497,0.0,0.0,34.70551449687322
