,date,id_cd,cd_name,id_borough,borough,pm 2.5,air_quality
0,2008-12-01,101,Financial District (CD1),1,manhattan,15.74,aceptable
1,2008-12-01,102,Greenwich Village and Soho (CD2),1,manhattan,15.21,aceptable
2,2008-12-01,103,Lower East Side and Chinatown (CD3),1,manhattan,14.24,aceptable
3,2008-12-01,104,Clinton and Chelsea (CD4),1,manhattan,15.48,aceptable
4,2008-12-01,105,Midtown (CD5),1,manhattan,18.84,aceptable
5,2008-12-01,106,Stuyvesant Town and Turtle Bay (CD6),1,manhattan,16.54,aceptable
6,2008-12-01,107,Upper West Side (CD7),1,manhattan,14.65,aceptable
7,2008-12-01,108,Upper East Side (CD8),1,manhattan,15.33,aceptable
8,2008-12-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,14.72,aceptable
9,2008-12-01,110,Central Harlem (CD10),1,manhattan,14.53,aceptable
10,2008-12-01,111,East Harlem (CD11),1,manhattan,14.15,aceptable
11,2008-12-01,112,Washington Heights and Inwood (CD12),1,manhattan,15.14,aceptable
12,2008-12-01,201,Mott Haven and Melrose (CD1),4,the_bronx,14.73,aceptable
13,2008-12-01,202,Hunts Point and Longwood (CD2),4,the_bronx,14.48,aceptable
14,2008-12-01,203,Morrisania and Crotona (CD3),4,the_bronx,14.56,aceptable
15,2008-12-01,204,Highbridge and Concourse (CD4),4,the_bronx,15.31,aceptable
16,2008-12-01,205,Fordham and University Heights (CD5),4,the_bronx,15.65,aceptable
17,2008-12-01,206,Belmont and East Tremont (CD6),4,the_bronx,14.75,aceptable
18,2008-12-01,207,Kingsbridge Heights and Bedford (CD7),4,the_bronx,14.97,aceptable
19,2008-12-01,208,Riverdale and Fieldston (CD8),4,the_bronx,14.65,aceptable
20,2008-12-01,209,Parkchester and Soundview (CD9),4,the_bronx,13.66,aceptable
21,2008-12-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,13.04,aceptable
22,2008-12-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,13.55,aceptable
23,2008-12-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,13.65,aceptable
24,2008-12-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,14.43,aceptable
25,2008-12-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,14.23,aceptable
26,2008-12-01,303,Bedford Stuyvesant (CD3),2,brooklyn,13.67,aceptable
27,2008-12-01,304,Bushwick (CD4),2,brooklyn,13.64,aceptable
28,2008-12-01,305,East New York and Starrett City (CD5),2,brooklyn,13.41,aceptable
29,2008-12-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,14.08,aceptable
30,2008-12-01,307,Sunset Park (CD7),2,brooklyn,13.65,aceptable
31,2008-12-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,13.67,aceptable
32,2008-12-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,13.48,aceptable
33,2008-12-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,12.26,aceptable
34,2008-12-01,311,Bensonhurst (CD11),2,brooklyn,11.71,bueno
35,2008-12-01,312,Borough Park (CD12),2,brooklyn,12.64,aceptable
36,2008-12-01,313,Coney Island (CD13),2,brooklyn,10.81,bueno
37,2008-12-01,314,Flatbush and Midwood (CD14),2,brooklyn,12.75,aceptable
38,2008-12-01,315,Sheepshead Bay (CD15),2,brooklyn,11.23,bueno
39,2008-12-01,316,Brownsville (CD16),2,brooklyn,13.67,aceptable
40,2008-12-01,317,East Flatbush (CD17),2,brooklyn,13.25,aceptable
41,2008-12-01,318,Flatlands and Canarsie (CD18),2,brooklyn,12.03,aceptable
42,2008-12-01,401,Long Island City and Astoria (CD1),3,queens,12.98,aceptable
43,2008-12-01,402,Woodside and Sunnyside (CD2),3,queens,14.15,aceptable
44,2008-12-01,403,Jackson Heights (CD3),3,queens,12.78,aceptable
45,2008-12-01,404,Elmhurst and Corona (CD4),3,queens,13.4,aceptable
46,2008-12-01,405,Ridgewood and Maspeth (CD5),3,queens,13.45,aceptable
