,trips_per_day,unique_vehicles,farebox_per_day,avg_hours_per_day_per_vehicle,monthly_trips_per_vehicle_on_road,unique_vehicles_PC,farebox_per_day_PC
2010-01-01,479376,,4968817,14.3,1070.0839684329198,,
2010-02-01,397969,,3392416,14.6,755.3269164407197,,
2010-03-01,415567,,3011750,15.1,900.5145530657472,,
2010-04-01,504798,,5502545,14.8,1094.751778478163,,
2010-05-01,499374,,5561218,14.8,1110.6371928770006,,
2010-06-01,494137,,5503949,14.9,1062.1809996242016,,
2010-07-01,472752,,5216891,14.5,1030.2703840084166,,
2010-08-01,404115,,4490108,14.4,943.5750860232672,,
2010-09-01,517972,,5827246,14.7,1224.8908272645444,,
2010-10-01,457996,,5122617,15.3,1063.9783175741768,,
2010-11-01,463701,,5165797,14.8,1085.3615372155175,,
2010-12-01,445727,,4985892,14.7,1027.6949483628212,,
2011-01-01,434297,,4661317,14.4,956.9601031411158,,
2011-02-01,507167,,5474959,14.9,1025.5848185316531,,
2011-03-01,518212,,5717207,15.0,1169.9548464780253,,
2011-04-01,490577,,5456034,15.1,1014.198428807698,,
2011-05-01,501708,,5730613,14.9,1121.1141072906478,,
2011-06-01,503152,,5743238,15.1,1090.762333458788,,
2011-07-01,475475,,5350809,14.6,1057.0092313489074,,
2011-08-01,427740,,4851734,13.9,916.930424971794,,
2011-09-01,487470,,5687581,14.9,1054.543378652445,,
2011-10-01,506532,,5790312,15.0,1136.8643446929889,,
2011-11-01,484122,,5572296,14.7,1054.098505893836,,
2011-12-01,481410,,5493999,14.7,1080.399234406665,,
2012-01-01,482811,,5220456,14.5,1062.278463617932,,
2012-02-01,516585,,5655691,14.9,1090.038184275738,,
2012-03-01,520764,,5860835,15.1,1176.8015315315315,,
2012-04-01,515848,,5861876,15.1,1123.1768150762068,,
2012-05-01,502097,,5838542,15.1,1130.424765478424,,
2012-06-01,503139,,5831841,15.1,1098.210688568857,,
2012-07-01,463784,,5292247,14.4,1034.1129729729728,,
