,avg_hours_per_day_per_vehicle
2010-01-01,14.3
2010-02-01,14.6
2010-03-01,15.1
2010-04-01,14.8
2010-05-01,14.8
2010-06-01,14.9
2010-07-01,14.5
2010-08-01,14.4
2010-09-01,14.7
2010-10-01,15.3
2010-11-01,14.8
2010-12-01,14.7
2011-01-01,14.4
2011-02-01,14.9
2011-03-01,15.0
2011-04-01,15.1
2011-05-01,14.9
2011-06-01,15.1
2011-07-01,14.6
2011-08-01,13.9
2011-09-01,14.9
2011-10-01,15.0
2011-11-01,14.7
2011-12-01,14.7
2012-01-01,14.5
2012-02-01,14.9
2012-03-01,15.1
2012-04-01,15.1
2012-05-01,15.1
2012-06-01,15.1
2012-07-01,14.4
2012-08-01,14.4
2012-09-01,14.9
2012-10-01,14.6
2012-11-01,14.2
2012-12-01,14.6
2013-01-01,14.4
2013-02-01,14.6
2013-03-01,15.0
2013-04-01,15.1
2013-05-01,15.1
2013-06-01,15.0
2013-07-01,14.3
2013-08-01,14.2
2013-09-01,14.9
2013-10-01,15.0
2013-11-01,15.0
2013-12-01,14.5
2014-01-01,14.1
2014-02-01,14.6
2014-03-01,15.1
2014-04-01,15.0
2014-05-01,14.9
2014-06-01,14.6
2014-07-01,13.8
2014-08-01,13.8
2014-09-01,14.3
2014-10-01,14.5
2014-11-01,14.3
2014-12-01,13.9
2015-01-01,13.4
2015-02-01,14.1
2015-03-01,14.0
2015-04-01,14.2
2015-05-01,14.1
2015-06-01,13.8
2015-07-01,13.1
2015-08-01,13.1
2015-09-01,13.2
2015-10-01,13.7
2015-11-01,13.3
2015-12-01,13.2
2016-01-01,12.7
2016-02-01,13.4
2016-03-01,13.6
2016-04-01,13.8
2016-05-01,13.5
2016-06-01,13.3
2016-07-01,12.6
2016-08-01,12.5
2016-09-01,12.8
2016-10-01,13.1
2016-11-01,12.9
2016-12-01,12.8
2017-01-01,12.2
2017-02-01,12.6
2017-03-01,12.8
2017-04-01,12.8
2017-05-01,12.6
2017-06-01,12.4
2017-07-01,11.8
2017-08-01,11.7
2017-09-01,12.1
2017-10-01,12.5
2017-11-01,12.4
2017-12-01,12.2
2018-01-01,11.6
2018-02-01,12.1
2018-03-01,12.2
2018-04-01,12.4
2018-05-01,12.1
2018-06-01,11.9
2018-07-01,11.3
2018-08-01,11.3
2018-09-01,11.7
2018-10-01,12.0
2018-11-01,11.8
2018-12-01,11.5
2019-01-01,11.1
2019-02-01,11.3
2019-03-01,11.4
2019-04-01,11.3
2019-05-01,11.2
2019-06-01,11.0
2019-07-01,10.5
2019-08-01,10.4
2019-09-01,10.9
2019-10-01,11.2
2019-11-01,11.0
2019-12-01,10.7
2020-01-01,10.5
2020-02-01,10.8
2020-03-01,10.925967133689094
2020-04-01,10.896135967205831
2020-05-01,10.744441318230585
2020-06-01,10.522105244366672
2020-07-01,10.01924006055933
2020-08-01,9.9166768132844
2020-09-01,10.429704498648514
2020-10-01,10.658504759225194
2020-11-01,10.46819104343111
2020-12-01,10.15389565461074
2021-01-01,9.944503340354979
2021-02-01,10.087925557180878
2021-03-01,10.244863225108398
2021-04-01,10.102467546906015
2021-05-01,10.040474674189218
2021-06-01,9.802953598507456
2021-07-01,9.334736198865597
2021-08-01,9.206394247409593
2021-09-01,9.732033198811738
2021-10-01,10.005908712407617
2021-11-01,9.82584285249882
2021-12-01,9.507916808795281
2022-01-01,9.322443059821444
2022-02-01,9.556603449986186
2022-03-01,9.739477495143545
2022-04-01,9.692686685572617
2022-05-01,9.555392121531176
2022-06-01,9.324101944494648
2022-07-01,8.830383783734485
2022-08-01,8.8
2022-09-01,8.9
2022-10-01,9.2
2022-11-01,9.1
2022-12-01,8.7
2023-01-01,8.47287341769581
2023-02-01,8.775642811167275
2023-03-01,8.953077368510389
2023-04-01,8.9277045876006
2023-05-01,8.79159532215044
2023-06-01,8.587291857924665
2023-07-01,8.053541285171056
2023-08-01,7.983815651238023
2023-09-01,8.287114240001385
2023-10-01,8.57285147718879
2023-11-01,8.409954184508603
2023-12-01,8.099093591757928
2024-01-01,7.8167834182290745
2024-02-01,8.135897315643753
2024-03-01,8.311890543057672
2024-04-01,8.292034689537983
2024-05-01,8.156230767603711
2024-06-01,7.95888013644141
2024-07-01,7.414815646483231
2024-08-01,7.334954011140588
2024-09-01,7.690630278423921
2024-10-01,7.972692869319142
2024-11-01,7.793590770713737
