,trips_per_day
2010-01-01,479376.0
2010-02-01,397969.0
2010-03-01,415567.0
2010-04-01,504798.0
2010-05-01,499374.0
2010-06-01,494137.0
2010-07-01,472752.0
2010-08-01,404115.0
2010-09-01,517972.0
2010-10-01,457996.0
2010-11-01,463701.0
2010-12-01,445727.0
2011-01-01,434297.0
2011-02-01,507167.0
2011-03-01,518212.0
2011-04-01,490577.0
2011-05-01,501708.0
2011-06-01,503152.0
2011-07-01,475475.0
2011-08-01,427740.0
2011-09-01,487470.0
2011-10-01,506532.0
2011-11-01,484122.0
2011-12-01,481410.0
2012-01-01,482811.0
2012-02-01,516585.0
2012-03-01,520764.0
2012-04-01,515848.0
2012-05-01,502097.0
2012-06-01,503139.0
2012-07-01,463784.0
2012-08-01,463841.0
2012-09-01,484783.0
2012-10-01,468377.0
2012-11-01,459114.0
2012-12-01,474005.0
2013-01-01,476544.0
2013-02-01,499556.0
2013-03-01,507914.0
2013-04-01,503249.0
2013-05-01,492962.0
2013-06-01,479148.0
2013-07-01,445861.0
2013-08-01,406246.0
2013-09-01,470147.0
2013-10-01,483921.0
2013-11-01,479527.0
2013-12-01,450634.0
2014-01-01,444537.0
2014-02-01,466522.0
2014-03-01,497661.0
2014-04-01,487275.0
2014-05-01,476569.0
2014-06-01,460393.0
2014-07-01,422771.0
2014-08-01,409305.0
2014-09-01,445782.0
2014-10-01,459087.0
2014-11-01,440576.0
2014-12-01,419776.0
2015-01-01,411238.0
2015-02-01,444633.0
2015-03-01,430669.0
2015-04-01,435701.0
2015-05-01,424459.0
2015-06-01,410831.0
2015-07-01,372979.0
2015-08-01,359029.0
2015-09-01,374156.0
2015-10-01,397244.0
2015-11-01,377076.0
2015-12-01,369686.0
2016-01-01,351816.0
2016-02-01,392470.0
2016-03-01,393886.0
2016-04-01,397780.0
2016-05-01,381878.0
2016-06-01,371257.0
2016-07-01,332231.0
2016-08-01,320718.0
2016-09-01,337321.0
2016-10-01,350380.0
2016-11-01,336737.0
2016-12-01,337071.0
2017-01-01,313229.0
2017-02-01,327451.0
2017-03-01,332075.0
2017-04-01,334865.0
2017-05-01,325857.0
2017-06-01,321877.0
2017-07-01,277042.0
2017-08-01,271676.0
2017-09-01,298163.0
2017-10-01,315084.0
2017-11-01,309471.0
2017-12-01,306706.0
2018-01-01,282565.0
2018-02-01,303280.0
2018-03-01,304169.0
2018-04-01,310169.0
2018-05-01,297508.0
2018-06-01,290362.0
2018-07-01,253186.0
2018-08-01,253182.0
2018-09-01,267983.0
2018-10-01,284121.0
2018-11-01,271501.0
2018-12-01,263609.0
2019-01-01,247315.0
2019-02-01,250654.0
2019-03-01,252634.0
2019-04-01,247742.0
2019-05-01,244017.0
2019-06-01,231335.0
2019-07-01,202443.0
2019-08-01,194798.0
2019-09-01,217747.0
2019-10-01,231171.0
2019-11-01,227654.0
2019-12-01,220786.0
2020-03-01,215558.0
2020-04-01,212540.0
2020-05-01,207092.0
2020-06-01,195488.0
2020-07-01,164413.0
2020-08-01,156974.0
2020-09-01,179577.0
2020-10-01,193390.0
2020-11-01,188104.0
2020-12-01,181468.0
2021-01-01,166786.0
2021-02-01,175318.0
2021-03-01,177528.0
2021-04-01,175193.0
2021-05-01,169119.0
2021-06-01,157906.0
2021-07-01,126040.0
2021-08-01,118675.0
2021-09-01,141153.0
2021-10-01,155107.0
2021-11-01,149178.0
2021-12-01,142627.0
2022-01-01,127763.0
2022-02-01,136933.0
2022-03-01,139154.0
2022-04-01,137067.0
2022-05-01,130766.0
2022-06-01,119696.0
2022-07-01,87542.0
2022-08-01,80204.0
2022-09-01,102637.0
2022-10-01,116642.0
2022-11-01,108146.0
2022-12-01,109290.0
2022-12-01,102383.0
2023-02-01,96804.0
2023-03-01,99053.0
2023-04-01,97063.0
2023-05-01,90673.0
2023-06-01,79658.0
2023-07-01,47393.0
2023-08-01,40060.0
2023-09-01,62480.0
2023-10-01,76503.0
2023-11-01,68429.0
2023-12-01,62512.0
2024-01-01,47426.0
2024-02-01,57010.0
2024-03-01,59269.0
2024-04-01,57314.0
2024-05-01,50892.0
2024-06-01,39898.0
2024-07-01,7591.0
2024-08-01,260.0
2024-09-01,22676.0
2024-10-01,36705.0
2024-11-01,28786.0
2024-12-01,22813.0
