,unique_vehicles
2015-01-01,13633
2015-02-01,13617
2015-03-01,13584
2015-04-01,13577
2015-05-01,13580
2015-06-01,13549
2015-07-01,13490
2015-08-01,13442
2015-09-01,13423
2015-10-01,13436
2015-11-01,13428
2015-12-01,13429
2016-01-01,13347
2016-02-01,13339
2016-03-01,13379
2016-04-01,13370
2016-05-01,13381
2016-06-01,13354
2016-07-01,13293
2016-08-01,13203
2016-09-01,13166
2016-10-01,13198
2016-11-01,13159
2016-12-01,13197
2017-01-01,13058
2017-02-01,12967
2017-03-01,12990
2017-04-01,12981
2017-05-01,12977
2017-06-01,12894
2017-07-01,12792
2017-08-01,12690
2017-09-01,12656
2017-10-01,12703
2017-11-01,12692
2017-12-01,12685
2018-01-01,12599
2018-02-01,12490
2018-03-01,12389
2018-04-01,12372
2018-05-01,12317
2018-06-01,12222
2018-07-01,12092
2018-08-01,11961
2018-09-01,12007
2018-10-01,12009
2018-11-01,11948
2018-12-01,11938
2019-01-01,11867
2019-02-01,11895
2019-03-01,11912
2019-04-01,11786
2019-05-01,11689
2019-06-01,11533
2019-07-01,11366
2019-08-01,11237
2019-09-01,11302
2019-10-01,11380
2019-11-01,11431
2019-12-01,11478
2020-01-01,11435
2020-03-01,11434
2020-04-01,11355
2020-05-01,11289
2020-06-01,11170
2020-07-01,11031
2020-08-01,10914
2020-09-01,10952
2020-10-01,11007
2020-11-01,11024
2020-12-01,11053
2021-01-01,10994
2021-02-01,10982
2021-03-01,10974
2021-04-01,10906
2021-05-01,10848
2021-06-01,10737
2021-07-01,10606
2021-08-01,10492
2021-09-01,10523
2021-10-01,10572
2021-11-01,10580
2021-12-01,10605
2022-01-01,10542
2022-02-01,10527
2022-03-01,10517
2022-04-01,10452
2022-05-01,10397
2022-06-01,10288
2022-07-01,10158
2022-08-01,10045
2022-09-01,10074
2022-10-01,10122
2022-11-01,10128
2022-12-01,10152
2023-01-01,10088
2023-02-01,10072
2023-03-01,10062
2023-04-01,9997
2023-05-01,9942
2023-06-01,9834
2023-07-01,9705
2023-08-01,9592
2023-09-01,9621
2023-10-01,9668
2023-11-01,9674
2023-12-01,9697
2024-01-01,9633
2024-02-01,9617
2024-03-01,9607
2024-04-01,9543
2024-05-01,9488
2024-06-01,9380
2024-07-01,9251
2024-08-01,9137
2024-09-01,9166
2024-10-01,9214
2024-11-01,9219
2024-12-01,9242
2025-01-01,9178
