license_class,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared,date,month_year1,trips_per_month,month_date,farebox_per_month,week,trips_per_week,year,farebox_per_week,total_trips_per_day,shared_trips_per_day_percent,farebox_per_trip,farebox_per_vehicle
FHV - Black Car,5359,0,2737,2725,1469,16.7,3.3,16.7,3.3,0.0,0.0,0,2015-01,2015-01,166129,2015-01-28,0,04,37513,2015,0,5359,0.0,0.0,0.0
FHV - Black Car,6213,0,2640,2620,1618,17.3,3.5,17.2,3.5,0.0,0.0,0,2015-02,2015-02,173964,2015-02-28,0,08,43491,2015,0,6213,0.0,0.0,0.0
FHV - Black Car,5338,0,2921,2882,1296,13.9,3.3,13.6,3.3,0.0,0.0,0,2015-03,2015-03,165478,2015-03-28,0,12,37366,2015,0,5338,0.0,0.0,0.0
FHV - Black Car,10060,0,5237,5225,2653,15.2,3.3,15.2,3.2,0.0,0.0,0,2015-04,2015-04,301800,2015-04-28,0,17,70420,2015,0,10060,0.0,0.0,0.0
FHV - Black Car,7681,0,4561,4550,2055,14.0,3.2,14.0,3.2,0.0,0.0,0,2015-05,2015-05,238111,2015-05-28,0,21,53767,2015,0,7681,0.0,0.0,0.0
FHV - Black Car,9276,0,5009,4956,2543,15.4,3.2,15.3,3.2,0.0,0.0,0,2015-06,2015-06,278280,2015-06-28,0,25,64932,2015,0,9276,0.0,0.0,0.0
FHV - Black Car,7574,0,4296,4248,2117,15.5,3.1,15.4,3.1,0.0,0.0,0,2015-07,2015-07,234794,2015-07-28,0,30,53018,2015,0,7574,0.0,0.0,0.0
FHV - Black Car,7988,0,5154,5073,2384,14.6,2.9,14.4,2.9,0.0,0.0,0,2015-08,2015-08,247628,2015-08-28,0,34,55916,2015,0,7988,0.0,0.0,0.0
FHV - Black Car,10293,0,5937,5875,2769,14.1,3.2,14.0,3.2,0.0,0.0,0,2015-09,2015-09,308790,2015-09-28,0,39,72051,2015,0,10293,0.0,0.0,0.0
FHV - Black Car,16756,0,7837,7652,3974,16.1,3.5,15.7,3.5,0.0,0.0,0,2015-10,2015-10,519436,2015-10-28,0,43,117292,2015,0,16756,0.0,0.0,0.0
FHV - Black Car,15069,0,7790,7942,4024,15.2,3.2,15.1,3.3,0.0,0.0,0,2015-11,2015-11,452070,2015-11-28,0,47,105483,2015,0,15069,0.0,0.0,0.0
FHV - Black Car,15377,0,8494,8429,3928,14.5,3.3,14.3,3.3,0.0,0.0,0,2015-12,2015-12,476687,2015-12-28,0,52,107639,2015,0,15377,0.0,0.0,0.0
FHV - Black Car,14352,0,8911,8788,4087,14.4,3.1,14.3,3.0,0.0,0.0,0,2016-01,2016-01,444912,2016-01-28,0,04,100464,2016,0,14352,0.0,0.0,0.0
FHV - Black Car,19854,0,9263,9138,4768,15.1,3.4,15.0,3.4,0.0,0.0,0,2016-02,2016-02,575766,2016-02-28,0,08,138978,2016,0,19854,0.0,0.0,0.0
FHV - Black Car,14138,0,6836,6543,3846,18.2,3.2,17.5,3.2,0.0,0.0,0,2016-03,2016-03,438278,2016-03-28,0,13,98966,2016,0,14138,0.0,0.0,0.0
FHV - Black Car,14535,0,7361,7036,3939,16.8,3.2,16.2,3.2,0.0,0.0,0,2016-04,2016-04,436050,2016-04-28,0,17,101745,2016,0,14535,0.0,0.0,0.0
FHV - Black Car,14705,0,7059,7029,3818,16.8,3.3,16.7,3.3,0.0,0.0,0,2016-05,2016-05,455855,2016-05-28,0,21,102935,2016,0,14705,0.0,0.0,0.0
FHV - Black Car,15375,0,6889,6794,3957,17.5,3.3,17.3,3.3,0.0,0.0,0,2016-06,2016-06,461250,2016-06-28,0,26,107625,2016,0,15375,0.0,0.0,0.0
FHV - Black Car,12589,0,6525,6423,3336,16.1,3.2,15.9,3.2,0.0,0.0,0,2016-07,2016-07,390259,2016-07-28,0,30,88123,2016,0,12589,0.0,0.0,0.0
FHV - Black Car,12344,0,6410,6289,3383,16.7,3.1,16.5,3.1,0.0,0.0,0,2016-08,2016-08,382664,2016-08-28,0,34,86408,2016,0,12344,0.0,0.0,0.0
FHV - Black Car,14150,0,6611,6261,3456,16.6,3.5,15.8,3.5,0.0,0.0,0,2016-09,2016-09,424500,2016-09-28,0,39,99050,2016,0,14150,0.0,0.0,0.0
FHV - Black Car,12933,0,6616,6381,3375,16.4,3.3,15.8,3.3,0.0,0.0,0,2016-10,2016-10,400923,2016-10-28,0,43,90531,2016,0,12933,0.0,0.0,0.0
FHV - Black Car,12670,0,6407,6114,3345,16.4,3.3,15.7,3.3,0.0,0.0,0,2016-11,2016-11,380100,2016-11-28,0,48,88690,2016,0,12670,0.0,0.0,0.0
FHV - Black Car,12185,0,6304,6140,3102,15.7,3.3,15.2,3.3,0.0,0.0,0,2016-12,2016-12,377735,2016-12-28,0,52,85295,2016,0,12185,0.0,0.0,0.0
FHV - Black Car,12660,0,6481,6431,3297,15.9,3.3,15.8,3.3,0.0,0.0,0,2017-01,2017-01,392460,2017-01-28,0,04,88620,2017,0,12660,0.0,0.0,0.0
FHV - Black Car,13280,0,6931,6769,3599,14.9,3.2,14.7,3.1,0.0,0.0,0,2017-02,2017-02,371840,2017-02-28,0,09,92960,2017,0,13280,0.0,0.0,0.0
FHV - Black Car,14500,0,7334,6815,3742,17.0,3.3,16.0,3.2,0.0,0.0,0,2017-03,2017-03,449500,2017-03-28,0,13,101500,2017,0,14500,0.0,0.0,0.0
FHV - Black Car,13676,0,7201,6725,3536,15.8,3.3,14.8,3.2,0.0,0.0,0,2017-04,2017-04,410280,2017-04-28,0,17,95732,2017,0,13676,0.0,0.0,0.0
FHV - Black Car,15505,0,7974,7435,4054,16.9,3.3,15.9,3.2,0.0,0.0,0,2017-05,2017-05,480655,2017-05-28,0,21,108535,2017,0,15505,0.0,0.0,0.0
FHV - Black Car,14274,0,7450,7394,3840,15.6,3.2,15.5,3.2,39.0,0.0,0,2017-06,2017-06,428220,2017-06-28,0,26,99918,2017,0,14274,0.0,0.0,0.0
FHV - Black Car,13084,0,7559,7486,3515,14.6,3.2,14.5,3.1,36.0,0.0,0,2017-07,2017-07,405604,2017-07-28,0,30,91588,2017,0,13084,0.0,0.0,0.0
FHV - Black Car,13985,0,7463,7406,3686,15.4,3.2,15.4,3.2,35.0,0.0,0,2017-08,2017-08,433535,2017-08-28,0,35,97895,2017,0,13985,0.0,0.0,0.0
FHV - Black Car,15975,0,7777,7693,3906,15.2,3.4,15.2,3.4,36.0,0.0,0,2017-09,2017-09,479250,2017-09-28,0,39,111825,2017,0,15975,0.0,0.0,0.0
FHV - Black Car,16405,0,8008,7882,4221,16.6,3.3,16.5,3.3,38.0,0.0,0,2017-10,2017-10,508555,2017-10-28,0,43,114835,2017,0,16405,0.0,0.0,0.0
FHV - Black Car,15718,0,7376,7331,3859,15.8,3.4,15.8,3.4,37.0,0.0,0,2017-11,2017-11,471540,2017-11-28,0,48,110026,2017,0,15718,0.0,0.0,0.0
FHV - Black Car,15541,0,7789,7703,3720,15.0,3.4,14.9,3.4,35.0,0.0,0,2017-12,2017-12,481771,2017-12-28,0,52,108787,2017,0,15541,0.0,0.0,0.0
FHV - Black Car,15445,0,7464,7410,3778,15.8,3.4,15.7,3.4,35.0,0.0,0,2018-01,2018-01,478795,2018-01-28,0,04,108115,2018,0,15445,0.0,0.0,0.0
FHV - Black Car,17415,0,7550,7529,4063,15.1,3.5,15.1,3.5,33.0,0.0,0,2018-02,2018-02,487620,2018-02-28,0,09,121905,2018,0,17415,0.0,0.0,0.0
FHV - Black Car,16422,0,7535,7471,3988,16.5,3.4,16.5,3.4,35.0,0.0,0,2018-03,2018-03,509082,2018-03-28,0,13,114954,2018,0,16422,0.0,0.0,0.0
FHV - Black Car,16088,0,7221,7176,3832,16.0,3.5,16.0,3.4,34.0,0.0,0,2018-04,2018-04,482640,2018-04-28,0,17,112616,2018,0,16088,0.0,0.0,0.0
FHV - Black Car,16826,0,7268,7224,3906,16.8,3.5,16.7,3.5,35.0,0.0,0,2018-05,2018-05,521606,2018-05-28,0,22,117782,2018,0,16826,0.0,0.0,0.0
FHV - Black Car,17207,0,7155,7119,3809,16.1,3.5,16.0,3.5,34.0,0.0,0,2018-06,2018-06,516210,2018-06-28,0,26,120449,2018,0,17207,0.0,0.0,0.0
FHV - Black Car,13614,0,6242,6188,3086,15.5,3.4,15.4,3.4,32.0,0.0,13,2018-07,2018-07,422034,2018-07-28,0,30,95298,2018,0,13627,0.0,0.0,0.0
FHV - Black Car,14455,0,6634,6609,3448,16.2,3.4,16.2,3.4,32.0,0.0,16,2018-08,2018-08,448105,2018-08-28,0,35,101185,2018,0,14471,0.0,0.0,0.0
FHV - Black Car,15159,0,6183,6140,3232,15.8,3.7,15.7,3.7,32.0,0.0,291,2018-09,2018-09,454770,2018-09-28,0,39,106113,2018,0,15450,0.02,0.0,0.0
FHV - Black Car,18364,0,7582,7476,3933,16.3,3.6,16.3,3.6,34.0,0.0,158,2018-10,2018-10,569284,2018-10-28,0,43,128548,2018,0,18522,0.01,0.0,0.0
