month_date,license_class,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared,month_year,month_year1,trips_per_month,farebox_per_month,week,trips_per_week,year,farebox_per_week,total_trips_per_day,shared_trips_per_day_percent
2013-08-28,Green,283,4028,129,114,33,7.3,5.4,6.8,5.1,11.4,0.3,0,Aug-2013,2013-08,8773,124868,34,1981,2013,28196,283,0.0
2013-09-28,Green,1632,23087,478,445,159,10.7,6.3,10.2,6.2,12.7,0.34,0,Sep-2013,2013-09,48960,692610,38,11424,2013,161609,1632,0.0
2013-10-28,Green,5477,74128,1261,1128,500,13.7,6.6,12.8,6.3,12.4,0.33,0,Oct-2013,2013-10,169787,2297968,43,38339,2013,518896,5477,0.0
2013-11-28,Green,12692,168976,2160,1754,1044,17.9,7.1,15.5,6.6,12.3,0.34,0,Nov-2013,2013-11,380760,5069280,47,88844,2013,1182832,12692,0.0
2013-12-28,Green,19435,257398,3317,2736,1707,19.3,6.8,16.9,6.4,12.3,0.32,0,Dec-2013,2013-12,602485,7979338,51,136045,2013,1801786,19435,0.0
2014-01-28,Green,25923,331334,4564,3818,2409,19.6,6.5,17.2,6.1,11.9,0.35,0,Jan-2014,2014-01,803613,10271354,4,181461,2014,2319338,25923,0.0
2014-02-28,Green,35895,465192,5085,4207,3065,20.4,6.8,17.8,6.5,12.6,0.35,0,Feb-2014,2014-02,1005060,13025376,8,251265,2014,3256344,35895,0.0
2014-03-28,Green,41718,543542,5620,4566,3547,24.1,6.9,20.7,6.5,12.2,0.37,0,Mar-2014,2014-03,1293258,16849802,12,292026,2014,3804794,41718,0.0
2014-04-28,Green,43625,580228,5894,4811,3799,23.7,6.8,20.4,6.4,12.5,0.39,0,Apr-2014,2014-04,1308750,17406840,17,305375,2014,4061596,43625,0.0
2014-05-28,Green,45853,636698,6136,4957,3998,25.0,6.9,21.3,6.5,13.4,0.41,0,May-2014,2014-05,1421443,19737638,21,320971,2014,4456886,45853,0.0
2014-06-28,Green,44590,616892,6158,5069,4040,23.9,6.7,20.7,6.4,13.2,0.41,0,Jun-2014,2014-06,1337700,18506760,25,312130,2014,4318244,44590,0.0
2014-07-28,Green,41094,560319,6180,5130,3958,23.9,6.4,20.8,6.1,12.7,0.42,0,Jul-2014,2014-07,1273914,17369889,30,287658,2014,3922233,41094,0.0
2014-08-28,Green,43381,595477,6249,5136,3989,24.1,6.7,20.7,6.4,12.8,0.42,0,Aug-2014,2014-08,1344811,18459787,34,303667,2014,4168339,43381,0.0
2014-09-28,Green,45394,623638,6311,5202,4153,23.9,6.7,20.6,6.4,13.2,0.44,0,Sep-2014,2014-09,1361820,18709140,38,317758,2014,4365466,45394,0.0
2014-10-28,Green,48100,649348,6488,5347,4280,24.8,6.8,21.3,6.5,13.1,0.45,0,Oct-2014,2014-10,1491100,20129788,43,336700,2014,4545436,48100,0.0
2014-11-28,Green,51600,684927,6622,5558,4499,24.3,6.9,21.3,6.6,13.0,0.45,0,Nov-2014,2014-11,1548000,20547810,47,361200,2014,4794489,51600,0.0
2014-12-28,Green,53078,701885,6933,5812,4651,24.8,6.8,21.7,6.5,12.9,0.44,0,Dec-2014,2014-12,1645418,21758435,51,371546,2014,4913195,53078,0.0
2015-01-28,Green,48659,673523,6919,5897,4498,23.6,6.6,21.0,6.3,12.1,0.45,0,Jan-2015,2015-01,1508429,20879213,4,340613,2015,4714661,48659,0.0
2015-02-28,Green,56242,798649,6880,5984,4723,22.1,6.9,20.0,6.6,12.9,0.45,0,Feb-2015,2015-02,1574776,22362172,8,393694,2015,5590543,56242,0.0
2015-03-28,Green,55567,793672,7254,6221,4835,24.1,6.7,21.5,6.5,13.0,0.45,0,Mar-2015,2015-03,1722577,24603832,12,388969,2015,5555704,55567,0.0
2015-04-28,Green,55473,805698,7388,6378,5032,23.7,6.7,21.2,6.4,13.0,0.46,0,Apr-2015,2015-04,1664190,24170940,17,388311,2015,5639886,55473,0.0
2015-05-28,Green,57637,862099,7513,6508,5177,24.7,6.8,22.2,6.5,13.6,0.46,0,May-2015,2015-05,1786747,26725069,21,403459,2015,6034693,57637,0.0
2015-06-28,Green,54628,801215,7483,6539,5196,23.8,6.5,21.6,6.3,13.3,0.45,0,Jun-2015,2015-06,1638840,24036450,25,382396,2015,5608505,54628,0.0
2015-07-28,Green,49730,681299,7321,6473,4981,23.9,6.3,21.7,6.1,13.0,0.45,0,Jul-2015,2015-07,1541630,21120269,30,348110,2015,4769093,49730,0.0
2015-08-28,Green,49429,678711,7215,6404,4911,23.8,6.4,21.8,6.2,12.8,0.46,0,Aug-2015,2015-08,1532299,21040041,34,346003,2015,4750977,49429,0.0
2015-09-28,Green,49830,687469,7181,6403,4932,23.1,6.4,21.2,6.2,13.2,0.47,0,Sep-2015,2015-09,1494900,20624070,39,348810,2015,4812283,49830,0.0
2015-10-28,Green,52598,716779,7157,6396,5083,24.6,6.5,22.7,6.3,13.3,0.48,0,Oct-2015,2015-10,1630538,22220149,43,368186,2015,5017453,52598,0.0
2015-11-28,Green,50999,685908,7132,6342,5036,23.8,6.4,21.8,6.2,12.9,0.49,0,Nov-2015,2015-11,1529970,20577240,47,356993,2015,4801356,50999,0.0
2015-12-28,Green,51880,700319,7120,6342,5030,24.6,6.4,22.5,6.3,12.9,0.48,0,Dec-2015,2015-12,1608280,21709889,52,363160,2015,4902233,51880,0.0
2016-01-28,Green,46621,613966,6994,6253,4648,23.0,6.3,21.2,6.1,12.5,0.49,0,Jan-2016,2016-01,1445251,19032946,4,326347,2016,4297762,46621,0.0
2016-02-28,Green,52093,676135,6871,6165,4843,22.8,6.5,21.1,6.3,12.3,0.5,0,Feb-2016,2016-02,1510697,19607915,8,364651,2016,4732945,52093,0.0
2016-03-28,Green,50850,673269,6816,6043,4768,24.5,6.5,22.3,6.3,12.6,0.5,0,Mar-2016,2016-03,1576350,20871339,13,355950,2016,4712883,50850,0.0
2016-04-28,Green,51458,692778,6770,6021,4789,23.9,6.6,21.9,6.4,13.0,0.51,0,Apr-2016,2016-04,1543740,20783340,17,360206,2016,4849446,51458,0.0
2016-05-28,Green,49573,681032,6672,6008,4730,24.4,6.5,22.6,6.3,13.5,0.5,0,May-2016,2016-05,1536763,21111992,21,347011,2016,4767224,49573,0.0
2016-06-28,Green,46817,645016,6582,5959,4711,23.7,6.2,22.1,6.1,13.5,0.49,0,Jun-2016,2016-06,1404510,19350480,26,327719,2016,4515112,46817,0.0
2016-07-28,Green,42979,589602,6471,5868,4408,23.3,6.2,21.7,6.0,13.0,0.5,0,Jul-2016,2016-07,1332349,18277662,30,300853,2016,4127214,42979,0.0
2016-08-28,Green,40241,547786,6359,5774,4329,23.2,6.0,21.7,5.9,12.9,0.49,0,Aug-2016,2016-08,1247471,16981366,34,281687,2016,3834502,40241,0.0
2016-09-28,Green,38741,529544,6341,5690,4272,22.5,5.8,20.7,5.7,13.4,0.49,0,Sep-2016,2016-09,1162230,15886320,39,271187,2016,3706808,38741,0.0
2016-10-28,Green,40405,540913,6215,5604,4331,24.0,5.9,22.1,5.8,13.0,0.5,0,Oct-2016,2016-10,1252555,16768303,43,282835,2016,3786391,40405,0.0
2016-11-28,Green,38272,501128,6065,5513,4258,23.2,5.8,21.6,5.7,12.8,0.49,0,Nov-2016,2016-11,1148160,15033840,48,267904,2016,3507896,38272,0.0
2016-12-28,Green,39488,508205,5935,5399,4166,23.9,6.0,22.4,5.8,12.4,0.48,0,Dec-2016,2016-12,1224128,15754355,52,276416,2016,3557435,39488,0.0
2017-01-28,Green,34497,431323,5751,5277,3918,23.0,5.7,21.7,5.5,11.8,0.49,0,Jan-2017,2017-01,1069407,13371013,4,241479,2017,3019261,34497,0.0
2017-02-28,Green,36509,461734,5533,5089,3895,21.4,5.9,20.2,5.8,12.1,0.5,0,Feb-2017,2017-02,1022252,12928552,9,255563,2017,3232138,36509,0.0
2017-03-28,Green,37341,473888,5357,4923,3789,23.9,6.1,22.5,5.9,12.4,0.49,0,Mar-2017,2017-03,1157571,14690528,13,261387,2017,3317216,37341,0.0
2017-04-28,Green,36024,465532,5337,4844,3803,23.6,6.0,22.0,5.8,12.5,0.5,0,Apr-2017,2017-04,1080720,13965960,17,252168,2017,3258724,36024,0.0
2017-05-28,Green,34174,449352,5302,4823,3740,24.0,5.8,22.4,5.7,13.1,0.5,0,May-2017,2017-05,1059394,13929912,21,239218,2017,3145464,34174,0.0
2017-06-28,Green,32544,432850,5072,4686,3629,23.2,5.7,22.0,5.6,13.2,0.5,0,Jun-2017,2017-06,976320,12985500,26,227808,2017,3029950,32544,0.0
2017-07-28,Green,29503,391767,4969,4579,3463,23.4,5.7,22.2,5.5,12.6,0.5,0,Jul-2017,2017-07,914593,12144777,30,206521,2017,2742369,29503,0.0
2017-08-28,Green,27976,373385,4769,4384,3347,23.7,5.6,22.3,5.5,12.6,0.5,0,Aug-2017,2017-08,867256,11574935,35,195832,2017,2613695,27976,0.0
2017-09-28,Green,29409,402289,4693,4320,3337,23.2,5.8,21.9,5.7,13.3,0.51,0,Sep-2017,2017-09,882270,12068670,39,205863,2017,2816023,29409,0.0
2017-10-28,Green,29858,401160,4723,4287,3390,24.5,5.9,22.8,5.7,13.4,0.53,0,Oct-2017,2017-10,925598,12435960,43,209006,2017,2808120,29858,0.0
2017-11-28,Green,29136,386722,4601,4199,3320,23.7,5.8,22.2,5.7,13.2,0.53,0,Nov-2017,2017-11,874080,11601660,48,203952,2017,2707054,29136,0.0
2017-12-28,Green,29223,383355,4497,4117,3200,24.1,5.9,22.6,5.8,13.0,0.51,0,Dec-2017,2017-12,905913,11884005,52,204561,2017,2683485,29223,0.0
2018-01-28,Green,25564,331105,4377,4021,2983,23.0,5.7,21.6,5.5,12.8,0.53,0,Jan-2018,2018-01,792484,10264255,4,178948,2018,2317735,25564,0.0
2018-02-28,Green,27461,360001,4260,3920,3058,21.8,5.9,20.6,5.7,12.9,0.55,0,Feb-2018,2018-02,768908,10080028,9,192227,2018,2520007,27461,0.0
2018-03-28,Green,26967,374253,4145,3773,2961,24.3,5.9,22.7,5.8,13.9,0.55,0,Mar-2018,2018-03,835977,11601843,13,188769,2018,2619771,26967,0.0
2018-04-28,Green,26642,384918,4081,3746,2976,23.8,5.9,22.4,5.8,14.5,0.56,0,Apr-2018,2018-04,799260,11547540,17,186494,2018,2694426,26642,0.0
2018-05-28,Green,25693,386965,4057,3707,2949,24.7,5.8,23.1,5.7,15.5,0.57,0,May-2018,2018-05,796483,11995915,22,179851,2018,2708755,25693,0.0
