month_date,license_class,unique_vehicles,vehicles_per_day
2010-01-28,FHV - Black Car,0,0
2010-01-28,FHV - High Volume,0,0
2010-01-28,FHV - Livery,0,0
2010-01-28,FHV - Lux Limo,0,0
2010-01-28,Green,0,0
2010-01-28,Yellow,13305,12727
2010-02-28,FHV - Black Car,0,0
2010-02-28,FHV - High Volume,0,0
2010-02-28,FHV - Livery,0,0
2010-02-28,FHV - Lux Limo,0,0
2010-02-28,Green,0,0
2010-02-28,Yellow,12171,10045
2010-03-28,FHV - Black Car,0,0
2010-03-28,FHV - High Volume,0,0
2010-03-28,FHV - Livery,0,0
2010-03-28,FHV - Lux Limo,0,0
2010-03-28,Green,0,0
2010-03-28,Yellow,12183,10382
2010-04-28,FHV - Black Car,0,0
2010-04-28,FHV - High Volume,0,0
2010-04-28,FHV - Livery,0,0
2010-04-28,FHV - Lux Limo,0,0
2010-04-28,Green,0,0
2010-04-28,Yellow,13326,12856
2010-05-28,FHV - Black Car,0,0
2010-05-28,FHV - High Volume,0,0
2010-05-28,FHV - Livery,0,0
2010-05-28,FHV - Lux Limo,0,0
2010-05-28,Green,0,0
2010-05-28,Yellow,13309,12729
2010-06-28,FHV - Black Car,0,0
2010-06-28,FHV - High Volume,0,0
2010-06-28,FHV - Livery,0,0
2010-06-28,FHV - Lux Limo,0,0
2010-06-28,Green,0,0
2010-06-28,Yellow,13305,12671
2010-07-28,FHV - Black Car,0,0
2010-07-28,FHV - High Volume,0,0
2010-07-28,FHV - Livery,0,0
2010-07-28,FHV - Lux Limo,0,0
2010-07-28,Green,0,0
2010-07-28,Yellow,13307,12457
2010-08-28,FHV - Black Car,0,0
2010-08-28,FHV - High Volume,0,0
2010-08-28,FHV - Livery,0,0
2010-08-28,FHV - Lux Limo,0,0
2010-08-28,Green,0,0
2010-08-28,Yellow,12206,11224
2010-09-28,FHV - Black Car,0,0
2010-09-28,FHV - High Volume,0,0
2010-09-28,FHV - Livery,0,0
2010-09-28,FHV - Lux Limo,0,0
2010-09-28,Green,0,0
2010-09-28,Yellow,12221,11765
2010-10-28,FHV - Black Car,0,0
2010-10-28,FHV - High Volume,0,0
2010-10-28,FHV - Livery,0,0
2010-10-28,FHV - Lux Limo,0,0
2010-10-28,Green,0,0
2010-10-28,Yellow,12268,11271
2010-11-28,FHV - Black Car,0,0
2010-11-28,FHV - High Volume,0,0
2010-11-28,FHV - Livery,0,0
2010-11-28,FHV - Lux Limo,0,0
2010-11-28,Green,0,0
2010-11-28,Yellow,12347,11876
2010-12-28,FHV - Black Car,0,0
2010-12-28,FHV - High Volume,0,0
2010-12-28,FHV - Livery,0,0
2010-12-28,FHV - Lux Limo,0,0
2010-12-28,Green,0,0
2010-12-28,Yellow,12491,11612
2011-01-28,FHV - Black Car,0,0
2011-01-28,FHV - High Volume,0,0
2011-01-28,FHV - Livery,0,0
2011-01-28,FHV - Lux Limo,0,0
2011-01-28,Green,0,0
2011-01-28,Yellow,12798,11624
2011-02-28,FHV - Black Car,0,0
2011-02-28,FHV - High Volume,0,0
2011-02-28,FHV - Livery,0,0
2011-02-28,FHV - Lux Limo,0,0
2011-02-28,Green,0,0
2011-02-28,Yellow,13253,12678
2011-03-28,FHV - Black Car,0,0
2011-03-28,FHV - High Volume,0,0
2011-03-28,FHV - Livery,0,0
2011-03-28,FHV - Lux Limo,0,0
2011-03-28,Green,0,0
2011-03-28,Yellow,13288,12852
2011-04-28,FHV - Black Car,0,0
2011-04-28,FHV - High Volume,0,0
2011-04-28,FHV - Livery,0,0
2011-04-28,FHV - Lux Limo,0,0
2011-04-28,Green,0,0
2011-04-28,Yellow,13302,12178
2011-05-28,FHV - Black Car,0,0
2011-05-28,FHV - High Volume,0,0
2011-05-28,FHV - Livery,0,0
2011-05-28,FHV - Lux Limo,0,0
2011-05-28,Green,0,0
2011-05-28,Yellow,13291,12745
2011-06-28,FHV - Black Car,0,0
2011-06-28,FHV - High Volume,0,0
2011-06-28,FHV - Livery,0,0
2011-06-28,FHV - Lux Limo,0,0
2011-06-28,Green,0,0
2011-06-28,Yellow,13285,12760
2011-07-28,FHV - Black Car,0,0
2011-07-28,FHV - High Volume,0,0
2011-07-28,FHV - Livery,0,0
2011-07-28,FHV - Lux Limo,0,0
2011-07-28,Green,0,0
2011-07-28,Yellow,13270,12612
2011-08-28,FHV - Black Car,0,0
2011-08-28,FHV - High Volume,0,0
2011-08-28,FHV - Livery,0,0
2011-08-28,FHV - Lux Limo,0,0
2011-08-28,Green,0,0
2011-08-28,Yellow,13295,12216
2011-09-28,FHV - Black Car,0,0
2011-09-28,FHV - High Volume,0,0
2011-09-28,FHV - Livery,0,0
2011-09-28,FHV - Lux Limo,0,0
2011-09-28,Green,0,0
2011-09-28,Yellow,13313,12797
2011-10-28,FHV - Black Car,0,0
2011-10-28,FHV - High Volume,0,0
2011-10-28,FHV - Livery,0,0
2011-10-28,FHV - Lux Limo,0,0
2011-10-28,Green,0,0
2011-10-28,Yellow,13322,12857
2011-11-28,FHV - Black Car,0,0
2011-11-28,FHV - High Volume,0,0
2011-11-28,FHV - Livery,0,0
2011-11-28,FHV - Lux Limo,0,0
2011-11-28,Green,0,0
2011-11-28,Yellow,13319,12858
2011-12-28,FHV - Black Car,0,0
2011-12-28,FHV - High Volume,0,0
2011-12-28,FHV - Livery,0,0
2011-12-28,FHV - Lux Limo,0,0
2011-12-28,Green,0,0
2011-12-28,Yellow,13323,12830
2012-01-28,FHV - Black Car,0,0
2012-01-28,FHV - High Volume,0,0
2012-01-28,FHV - Livery,0,0
2012-01-28,FHV - Lux Limo,0,0
2012-01-28,Green,0,0
2012-01-28,Yellow,13317,12588
2012-02-28,FHV - Black Car,0,0
2012-02-28,FHV - High Volume,0,0
2012-02-28,FHV - Livery,0,0
2012-02-28,FHV - Lux Limo,0,0
2012-02-28,Green,0,0
2012-02-28,Yellow,13317,12896
2012-03-28,FHV - Black Car,0,0
2012-03-28,FHV - High Volume,0,0
2012-03-28,FHV - Livery,0,0
2012-03-28,FHV - Lux Limo,0,0
2012-03-28,Green,0,0
2012-03-28,Yellow,13320,12927
2012-04-28,FHV - Black Car,0,0
2012-04-28,FHV - High Volume,0,0
2012-04-28,FHV - Livery,0,0
2012-04-28,FHV - Lux Limo,0,0
2012-04-28,Green,0,0
2012-04-28,Yellow,13319,12864
2012-05-28,FHV - Black Car,0,0
2012-05-28,FHV - High Volume,0,0
2012-05-28,FHV - Livery,0,0
2012-05-28,FHV - Lux Limo,0,0
2012-05-28,Green,0,0
2012-05-28,Yellow,13325,12887
2012-06-28,FHV - Black Car,0,0
2012-06-28,FHV - High Volume,0,0
2012-06-28,FHV - Livery,0,0
2012-06-28,FHV - Lux Limo,0,0
2012-06-28,Green,0,0
2012-06-28,Yellow,13332,12940
2012-07-28,FHV - Black Car,0,0
2012-07-28,FHV - High Volume,0,0
2012-07-28,FHV - Livery,0,0
2012-07-28,FHV - Lux Limo,0,0
2012-07-28,Green,0,0
2012-07-28,Yellow,13320,12773
2012-08-28,FHV - Black Car,0,0
2012-08-28,FHV - High Volume,0,0
2012-08-28,FHV - Livery,0,0
2012-08-28,FHV - Lux Limo,0,0
2012-08-28,Green,0,0
2012-08-28,Yellow,13318,12785
2012-09-28,FHV - Black Car,0,0
2012-09-28,FHV - High Volume,0,0
2012-09-28,FHV - Livery,0,0
2012-09-28,FHV - Lux Limo,0,0
2012-09-28,Green,0,0
2012-09-28,Yellow,13322,12826
2012-10-28,FHV - Black Car,0,0
2012-10-28,FHV - High Volume,0,0
2012-10-28,FHV - Livery,0,0
2012-10-28,FHV - Lux Limo,0,0
2012-10-28,Green,0,0
2012-10-28,Yellow,13328,12555
2012-11-28,FHV - Black Car,0,0
2012-11-28,FHV - High Volume,0,0
2012-11-28,FHV - Livery,0,0
2012-11-28,FHV - Lux Limo,0,0
2012-11-28,Green,0,0
2012-11-28,Yellow,13324,12551
2012-12-28,FHV - Black Car,0,0
2012-12-28,FHV - High Volume,0,0
2012-12-28,FHV - Livery,0,0
2012-12-28,FHV - Lux Limo,0,0
2012-12-28,Green,0,0
2012-12-28,Yellow,13346,12806
2013-01-28,FHV - Black Car,0,0
2013-01-28,FHV - High Volume,0,0
2013-01-28,FHV - Livery,0,0
2013-01-28,FHV - Lux Limo,0,0
2013-01-28,Green,0,0
2013-01-28,Yellow,13344,12863
2013-02-28,FHV - Black Car,0,0
2013-02-28,FHV - High Volume,0,0
2013-02-28,FHV - Livery,0,0
2013-02-28,FHV - Lux Limo,0,0
2013-02-28,Green,0,0
2013-02-28,Yellow,13338,12867
2013-03-28,FHV - Black Car,0,0
2013-03-28,FHV - High Volume,0,0
2013-03-28,FHV - Livery,0,0
2013-03-28,FHV - Lux Limo,0,0
2013-03-28,Green,0,0
2013-03-28,Yellow,13334,12927
2013-04-28,FHV - Black Car,0,0
2013-04-28,FHV - High Volume,0,0
2013-04-28,FHV - Livery,0,0
2013-04-28,FHV - Lux Limo,0,0
2013-04-28,Green,0,0
2013-04-28,Yellow,13343,12949
2013-05-28,FHV - Black Car,0,0
2013-05-28,FHV - High Volume,0,0
2013-05-28,FHV - Livery,0,0
2013-05-28,FHV - Lux Limo,0,0
2013-05-28,Green,0,0
2013-05-28,Yellow,13334,12929
2013-06-28,FHV - Black Car,0,0
2013-06-28,FHV - High Volume,0,0
2013-06-28,FHV - Livery,0,0
2013-06-28,FHV - Lux Limo,0,0
2013-06-28,Green,0,0
2013-06-28,Yellow,13341,12922
2013-07-28,FHV - Black Car,0,0
2013-07-28,FHV - High Volume,0,0
2013-07-28,FHV - Livery,0,0
2013-07-28,FHV - Lux Limo,0,0
2013-07-28,Green,0,0
2013-07-28,Yellow,13327,12830
2013-08-28,FHV - Black Car,0,0
2013-08-28,FHV - High Volume,0,0
2013-08-28,FHV - Livery,0,0
2013-08-28,FHV - Lux Limo,0,0
2013-08-28,Green,114,33
2013-08-28,Yellow,13318,11959
2013-09-28,FHV - Black Car,0,0
2013-09-28,FHV - High Volume,0,0
2013-09-28,FHV - Livery,0,0
2013-09-28,FHV - Lux Limo,0,0
2013-09-28,Green,445,159
2013-09-28,Yellow,13340,12881
2013-10-28,FHV - Black Car,0,0
2013-10-28,FHV - High Volume,0,0
2013-10-28,FHV - Livery,0,0
2013-10-28,FHV - Lux Limo,0,0
2013-10-28,Green,1128,500
2013-10-28,Yellow,13334,12962
2013-11-28,FHV - Black Car,0,0
2013-11-28,FHV - High Volume,0,0
2013-11-28,FHV - Livery,0,0
2013-11-28,FHV - Lux Limo,0,0
2013-11-28,Green,1754,1044
2013-11-28,Yellow,13336,12926
2013-12-28,FHV - Black Car,0,0
2013-12-28,FHV - High Volume,0,0
2013-12-28,FHV - Livery,0,0
2013-12-28,FHV - Lux Limo,0,0
2013-12-28,Green,2736,1707
2013-12-28,Yellow,13356,12858
2014-01-28,FHV - Black Car,0,0
2014-01-28,FHV - High Volume,0,0
2014-01-28,FHV - Livery,0,0
2014-01-28,FHV - Lux Limo,0,0
2014-01-28,Green,3818,2409
2014-01-28,Yellow,13366,12778
2014-02-28,FHV - Black Car,0,0
2014-02-28,FHV - High Volume,0,0
2014-02-28,FHV - Livery,0,0
2014-02-28,FHV - Lux Limo,0,0
2014-02-28,Green,4207,3065
2014-02-28,Yellow,13376,12852
2014-03-28,FHV - Black Car,0,0
2014-03-28,FHV - High Volume,0,0
2014-03-28,FHV - Livery,0,0
2014-03-28,FHV - Lux Limo,0,0
2014-03-28,Green,4566,3547
2014-03-28,Yellow,13442,13020
2014-04-28,FHV - Black Car,0,0
2014-04-28,FHV - High Volume,0,0
2014-04-28,FHV - Livery,0,0
2014-04-28,FHV - Lux Limo,0,0
2014-04-28,Green,4811,3799
2014-04-28,Yellow,13524,13074
2014-05-28,FHV - Black Car,0,0
2014-05-28,FHV - High Volume,0,0
2014-05-28,FHV - Livery,0,0
2014-05-28,FHV - Lux Limo,0,0
2014-05-28,Green,4957,3998
2014-05-28,Yellow,13581,13098
2014-06-28,FHV - Black Car,0,0
2014-06-28,FHV - High Volume,0,0
2014-06-28,FHV - Livery,0,0
2014-06-28,FHV - Lux Limo,0,0
2014-06-28,Green,5069,4040
2014-06-28,Yellow,13651,13154
2014-07-28,FHV - Black Car,0,0
2014-07-28,FHV - High Volume,0,0
2014-07-28,FHV - Livery,0,0
2014-07-28,FHV - Lux Limo,0,0
2014-07-28,Green,5130,3958
2014-07-28,Yellow,13633,12943
2014-08-28,FHV - Black Car,0,0
2014-08-28,FHV - High Volume,0,0
2014-08-28,FHV - Livery,0,0
