month_date,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,trips_per_month,farebox_per_month,year,farebox_per_week,total_trips_per_day,farebox_per_trip,farebox_per_vehicle
2010-01-28,479376,4968817,30659,13305,12727,29.7,14.3,22.5,8.2,0.0,14860656,154033327,2010,34781719,479376,10.36517681319048,11577.100864336717
2010-02-28,397969,3392416,28255,12171,10045,23.1,14.6,17.6,8.3,11.1,11143132,94987648,2010,23746912,397969,8.524322246205106,7804.424287240161
2010-03-28,415567,3011750,28709,12183,10382,26.4,15.1,20.4,8.3,11.5,12882577,93364250,2010,21082250,415567,7.247327145803204,7663.486005089058
2010-04-28,504798,5502545,30827,13326,12856,28.9,14.8,22.3,8.3,0.0,15143940,165076350,2010,38517815,504798,10.90048890843466,12387.539396668168
2010-05-28,499374,5561218,30950,13309,12729,29.6,14.8,22.7,8.3,0.0,15480594,172397758,2010,38928526,499374,11.13637874619023,12953.47193628372
2010-06-28,494137,5503949,30812,13305,12671,28.6,14.9,22.2,8.3,0.0,14824110,165118470,2010,38527643,494137,11.138508146526164,12410.257046223223
2010-07-28,472752,5216891,30562,13307,12457,29.0,14.5,22.3,8.2,0.0,14655312,161723621,2010,36518237,472752,11.03515373811216,12153.274291726158
2010-08-28,404115,4490108,28574,12206,11224,28.5,14.4,21.5,8.1,11.8,12527565,139193348,2010,31430756,404115,11.110965937913711,11403.682451253482
2010-09-28,517972,5827246,28989,12221,11765,28.9,14.7,21.7,8.3,12.3,15539160,174817380,2010,40790722,517972,11.250117766983545,14304.67064888307
2010-10-28,457996,5122617,29128,12268,11271,28.5,15.3,21.9,8.4,12.3,14197876,158801127,2010,35858319,457996,11.184850959397023,12944.33705575481
2010-11-28,463701,5165797,29348,12347,11876,28.9,14.8,21.9,8.2,12.2,13911030,154973910,2010,36160579,463701,11.140362000513262,12551.543694824652
2010-12-28,445727,4985892,29414,12491,11612,28.8,14.7,21.9,8.2,12.6,13817537,154562652,2010,34901244,445727,11.185977066679827,12373.921383396046
2011-01-28,434297,4661317,29682,12798,11624,28.2,14.4,21.4,8.2,11.7,13463207,144500827,2011,32629219,434297,10.733016806471149,11290.891311142366
2011-02-28,507167,5474959,30359,13253,12678,26.8,14.9,20.8,8.4,11.8,14200676,153298852,2011,38324713,507167,10.795179891436154,11567.105711914284
2011-03-28,518212,5717207,30960,13288,12852,30.0,15.0,23.1,8.4,11.9,16064572,177233417,2011,40020449,518212,11.032563892769756,13337.854981938592
2011-04-28,490577,5456034,31022,13302,12178,27.5,15.1,21.3,8.4,12.1,14717310,163681020,2011,38192238,490577,11.121666935058103,12304.993234100137
2011-05-28,501708,5730613,31259,13291,12745,29.7,14.9,22.8,8.3,12.5,15552948,177649003,2011,40114291,501708,11.422207738365742,13366.112632608532
2011-06-28,503152,5743238,31094,13285,12760,28.8,15.1,22.4,8.3,12.6,15094560,172297140,2011,40202666,503152,11.414518873024454,12969.299209634926
2011-07-28,475475,5350809,30683,13270,12612,29.5,14.6,22.6,8.3,12.1,14739725,165875079,2011,37455663,475475,11.253607445186391,12500.00595327807
2011-08-28,427740,4851734,30144,13295,12216,28.5,13.9,21.9,8.0,12.1,13259940,150403754,2011,33962138,427740,11.342717538691728,11312.805866867244
2011-09-28,487470,5687581,30917,13313,12797,28.8,14.9,22.2,8.3,13.1,14624100,170627430,2011,39813067,487470,11.667550823640427,12816.6025689176
2011-10-28,506532,5790312,31341,13322,12857,29.9,15.0,23.0,8.3,12.7,15702492,179499672,2011,40532184,506532,11.431285683826491,13473.928239003151
2011-11-28,484122,5572296,31022,13319,12858,29.0,14.7,22.3,8.2,12.9,14523660,167168880,2011,39006072,484122,11.51010695651096,12551.158495382537
2011-12-28,481410,5493999,31196,13323,12830,29.9,14.7,22.9,8.2,12.7,14923710,170313969,2011,38457993,481410,11.41230759643547,12783.454852510697
2012-01-28,482811,5220456,30944,13317,12588,29.3,14.5,22.3,8.2,11.3,14967141,161834136,2012,36543192,482811,10.81262854408868,12152.4469475107
2012-02-28,516585,5655691,30803,13317,12896,28.1,14.9,21.8,8.3,11.6,14980965,164015039,2012,39589837,516585,10.948229236234114,12316.215288728692
2012-03-28,520764,5860835,31401,13320,12927,30.1,15.1,23.2,8.3,12.0,16143684,181685885,2012,41025845,520764,11.25430137259872,13640.081456456455
2012-04-28,515848,5861876,31579,13319,12864,29.0,15.1,22.2,8.3,12.2,15475440,175856280,2012,41033132,515848,11.363572215071104,13203.41467077108
