month_date,license_class,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared,date,month_year1,trips_per_month,farebox_per_month,week,trips_per_week,year,farebox_per_week,total_trips_per_day,shared_trips_per_day_percent,farebox_per_trip,farebox_per_vehicle
2010-01-28,Yellow,479376,4968817,30659,13305,12727,29.7,14.3,22.5,8.2,0.0,0.32,0,2010-01,2010-01,14860656,154033327,04,3355632,2010,34781719,479376,0.0,10.36517681319048,11577.100864336715
2010-02-28,Yellow,397969,3392416,28255,12171,10045,23.1,14.6,17.6,8.3,11.1,0.35,0,2010-02,2010-02,11143132,94987648,08,2785783,2010,23746912,397969,0.0,8.524322246205106,7804.424287240161
2010-03-28,Yellow,415567,3011750,28709,12183,10382,26.4,15.1,20.4,8.3,11.5,0.35,0,2010-03,2010-03,12882577,93364250,12,2908969,2010,21082250,415567,0.0,7.247327145803204,7663.486005089058
2010-04-28,Yellow,504798,5502545,30827,13326,12856,28.9,14.8,22.3,8.3,0.0,0.35,0,2010-04,2010-04,15143940,165076350,17,3533586,2010,38517815,504798,0.0,10.90048890843466,12387.539396668168
2010-05-28,Yellow,499374,5561218,30950,13309,12729,29.6,14.8,22.7,8.3,0.0,0.35,0,2010-05,2010-05,15480594,172397758,21,3495618,2010,38928526,499374,0.0,11.13637874619023,12953.471936283719
2010-06-28,Yellow,494137,5503949,30812,13305,12671,28.6,14.9,22.2,8.3,0.0,0.36,0,2010-06,2010-06,14824110,165118470,26,3458959,2010,38527643,494137,0.0,11.138508146526165,12410.257046223225
2010-07-28,Yellow,472752,5216891,30562,13307,12457,29.0,14.5,22.3,8.2,0.0,0.37,0,2010-07,2010-07,14655312,161723621,30,3309264,2010,36518237,472752,0.0,11.035153738112161,12153.274291726158
2010-08-28,Yellow,404115,4490108,28574,12206,11224,28.5,14.4,21.5,8.1,11.8,0.37,0,2010-08,2010-08,12527565,139193348,34,2828805,2010,31430756,404115,0.0,11.110965937913713,11403.682451253482
2010-09-28,Yellow,517972,5827246,28989,12221,11765,28.9,14.7,21.7,8.3,12.3,0.38,0,2010-09,2010-09,15539160,174817380,39,3625804,2010,40790722,517972,0.0,11.250117766983543,14304.67064888307
2010-10-28,Yellow,457996,5122617,29128,12268,11271,28.5,15.3,21.9,8.4,12.3,0.39,0,2010-10,2010-10,14197876,158801127,43,3205972,2010,35858319,457996,0.0,11.184850959397025,12944.33705575481
2010-11-28,Yellow,463701,5165797,29348,12347,11876,28.9,14.8,21.9,8.2,12.2,0.39,0,2010-11,2010-11,13911030,154973910,47,3245907,2010,36160579,463701,0.0,11.140362000513262,12551.543694824653
2010-12-28,Yellow,445727,4985892,29414,12491,11612,28.8,14.7,21.9,8.2,12.6,0.38,0,2010-12,2010-12,13817537,154562652,52,3120089,2010,34901244,445727,0.0,11.185977066679829,12373.921383396046
2011-01-28,Yellow,434297,4661317,29682,12798,11624,28.2,14.4,21.4,8.2,11.7,0.41,0,2011-01,2011-01,13463207,144500827,04,3040079,2011,32629219,434297,0.0,10.733016806471147,11290.891311142366
